name,iso3,continet,status,flag
Bolivia,BOL,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Bolivia-flag.gif
Brazil,BRA,South America,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Brazil-flag.gif
Chile,CHL,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Chile-flag.gif
Colombia,COL,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Colombia-flag.gif
Ecuador,ECU,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Ecuador-flag.gif
Falkland Is.,FLK,South America
Guyana,GUY,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Guyana-flag.gif
Paraguay,PRY,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Paraguay-flag.gif
Peru,PER,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Peru-flag.gif
Suriname,SUR,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Suriname-flag.gif
Uruguay,URY,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Uruguay-flag.gif
Venezuela,VEN,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Venezuela-flag.gif
